case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
28,3,13687852,44350128,3.202550699700727,181.69247012771666,routed
28,4,10347838,74883456,4.23625108935799,167.6048848796636,routed
28,5,8286707,73953792,5.2899227642536415,171.5969411507249,routed
29,1,37555,0,1.0,0.0,prescribed_reference
29,2,18880,16388,1.9891419491525424,1.4672999121248722,routed
29,3,12743,0,2.9471082162756024,2.0750990621745586,routed
29,4,10168,49164,3.693450039339103,3.1605961676687,routed
29,5,8787,65552,4.273927392739274,2.5054923836141825,routed
30,1,2808034,5519360,1.0,0.0,prescribed_reference
30,2,1390496,1292288,2.019447736634985,43.549711579456925,routed
30,3,933720,8985600,3.0073619500492654,44.81077626720071,routed
30,4,697351,6002688,4.026715384361677,62.42756980098784,routed
30,5,559882,7484416,5.015403245683912,58.41331568732858,routed
31,1,1414369,3491328,1.0,0.0,prescribed_reference
31,2,712262,5250048,1.985742605951181,21.406058378517628,routed
31,3,473822,7544832,2.985021801435982,21.49072015658021,routed
31,4,360134,7808000,3.9273409342078227,25.91477138735354,routed
31,5,284848,7931904,4.965346430376902,29.95732308551669,routed
32,1,41443,0,1.0,0.0,prescribed_reference
32,2,17566,6216,2.3592735967209384,1.4275628682225943,routed
32,3,11910,12360,3.47968094038623,1.6781724318861961,routed
32,4,10728,74980,3.86306860551827,3.3779252152889967,routed
32,5,10414,12360,3.9795467639715767,3.220997640863061,routed
33,1,1774196,4592640,1.0,0.0,prescribed_reference
33,2,889132,6452256,1.995424751330511,9.457462383434176,routed
33,3,596821,7053888,2.9727439215443154,14.108230074867606,routed
33,4,443447,7214688,4.000920064855552,9.69254401139915,routed
33,5,361176,7894656,4.912275455733493,9.684368589892983,routed
34,1,842996,1079832,1.0,0.0,prescribed_reference
34,2,415251,943616,2.0300878263989732,12.664906622841954,routed
34,3,270947,2288640,3.1112948288779725,11.876233721151948,routed
34,4,206454,3059200,4.083214662830461,16.208561522886157,routed
34,5,167389,3463168,5.036149328808942,17.22508342936635,routed
35,1,169571,0,1.0,0.0,prescribed_reference
35,2,93692,801138,1.8098770439311787,9.533891638740897,routed
35,3,75717,1276568,2.2395366958542997,14.638778246939182,routed
35,4,63767,1505978,2.6592281274013203,12.765881203114986,routed
35,5,58308,1058710,2.9081944158606023,16.19328235089779,routed
36,1,931510,0,1.0,0.0,prescribed_reference
36,2,466068,1152,1.998656848356892,5.270095154643059,routed
36,3,311345,2304,2.991890025534375,7.612269472330809,routed
36,4,233584,3456,3.987901568600589,5.386701423674822,routed
36,5,187182,4608,4.976493466252097,6.003936760127544,routed
37,1,210001,0,1.0,0.0,prescribed_reference
37,2,105374,204800,1.992910964754114,1.0885092932730913,routed
37,3,74038,573440,2.836394824279424,2.1744963973760605,routed
37,4,53320,614400,3.938503375843961,1.1374876406043768,routed
37,5,43013,942080,4.882268151489085,1.6496806908398867,routed
38,1,1364555,5627904,1.0,0.0,prescribed_reference
38,2,674500,6790656,2.0230615270570795,23.073261538520455,routed
38,3,449590,8107008,3.035109766676305,28.659884406253695,routed
38,4,338182,8954880,4.034972293025649,25.018268881365657,routed
38,5,275278,9592320,4.957007098278831,23.448610220104456,routed
39,1,1435262,7929856,1.0,0.0,prescribed_reference
39,2,708430,9166848,2.025975749191875,18.94148471020162,routed
39,3,478013,11911168,3.002558507823009,19.879101837053895,routed
39,4,368961,14536704,3.8900100552632932,25.569223131984472,routed
39,5,338925,14536704,4.23474810061223,20.948254488408566,routed
40,1,253454,0,1.0,0.0,prescribed_reference
40,2,134642,1227916,1.882428959759956,7.565967295318842,routed
40,3,105492,1985768,2.402589769840367,9.71565550006926,routed
40,4,89539,1836692,2.8306547984677066,11.563886560499668,routed
40,5,78938,1915296,3.2107983480706377,13.679313339293003,routed
