case,cores,our_makespan,external_makespan,makespan_reduction_cycles,makespan_reduction_pct,our_speedup,external_speedup,our_added_bytes,external_added_bytes,external_partition_added_bytes,external_spill_added_bytes,external_method,external_tasks,external_candidate_count,external_search_seconds,external_final_seconds
case_015,4,74224,48866,25358,34.16415175684415,2.3895505496874327,3.6295583841525807,2845122,365824,324864,40960,component_lpt,4,5,1.1509227800015651,0.0
case_015,5,71787,42569,29218,40.70096256982462,2.4706701770515553,4.166459160421903,2845122,326144,317952,8192,component_pipe_balance,5,5,1.0766329260040948,0.0
case_016,1,7715523,7715523,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,53.60585410699787,0.0
case_016,2,5440637,5619775,-179138,-3.2925923931333774,1.4181286125135715,1.3729238270215445,134500220,119572408,119572408,0,chain_heft,7015,3,85.16735316999984,0.0
case_016,3,4478897,4734206,-255309,-5.7002650429335615,1.7226390783266505,1.6297396015298025,134500220,119572408,119572408,0,chain_heft,7015,3,84.23131626699615,0.0
case_016,4,4266542,4545411,-278869,-6.536183166601899,1.808378541685515,1.6974313213920589,134500220,119572408,119572408,0,chain_heft,7015,3,76.91726146599467,0.0
case_016,5,4158373,4082154,76219,1.8329043594694368,1.8554186938016384,1.8900617174168344,134500220,119572408,119572408,0,chain_heft,7015,3,75.71178466699712,0.0
case_017,1,162810,162810,0,0.0,1.0,1.0,22528,22528,0,22528,official_singlecore,1,1,0.40250874500270584,0.0
case_017,2,86968,81776,5192,5.970011958421488,1.872067887038911,1.99092643318333,445936,87552,87552,0,component_lpt,2,5,1.4331942880016868,0.0
case_017,3,58877,49383,9494,16.125142245698658,2.7652563819488085,3.296883542919628,427492,175104,175104,0,component_batches,8,5,1.4066333259979729,0.0
case_017,4,58607,39733,18874,32.20434419096695,2.7779958025491833,4.097601489945386,1472406,259200,259200,0,component_batches,8,5,1.5734518399985973,0.0
case_017,5,49911,33998,15913,31.88275129730921,3.262006371340987,4.788811106535679,1472406,340992,340992,0,component_batches,9,5,1.5048983720007527,0.0
case_018,1,1004367,1004367,0,0.0,1.0,1.0,1970176,1970176,0,1970176,official_singlecore,1,1,1.9677774890005821,0.0
case_018,2,560808,504287,56521,10.07849388739105,1.7909284460991997,1.9916575283519107,8809488,2880512,1299456,1581056,component_round_robin,2,4,4.7795668019934965,0.0
case_018,3,392394,339082,53312,13.586344337579066,2.5595880670958273,2.9620180369350186,8383504,4131968,4131968,0,component_batches,13,5,6.244853739000973,0.0
case_018,4,316398,253676,62722,19.823766269066176,3.1743784726831397,3.9592511707847806,8436752,4938752,3779584,1159168,component_lpt,4,5,5.920748383003229,0.0
case_018,5,271848,205219,66629,24.509652452841294,3.694590359318443,4.894122863867381,8879120,5345280,4706304,638976,component_lpt,5,5,5.445543070003623,0.0
case_019,1,81144,81144,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.08856598700003815,0.0
case_019,2,46867,41643,5224,11.14643565835236,1.731367486717733,1.9485627836611195,277524,27168,27168,0,component_lpt,2,5,0.361755620000622,0.0
case_019,3,31916,28153,3763,11.790324602080462,2.5424238626394287,2.8822505594430434,295712,27168,27168,0,component_batches,4,5,0.35080880199893727,0.0
case_019,4,25256,24099,1157,4.581089642065252,3.212860310421286,3.3671106684924688,256668,51744,51744,0,component_pipe_balance,4,4,0.2667458730029466,0.0
case_019,5,23450,21122,2328,9.927505330490405,3.4602985074626864,3.841681658933813,568740,386184,386184,0,window16_heft,47,8,0.894073875999311,0.0
case_020,1,532746,532746,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,7.967555757997616,0.0
case_020,2,274893,266580,8313,3.0240857351769597,1.9380122447643264,1.9984469952734638,1007616,0,0,0,component_lpt,2,4,6.590593965000153,4.7172976619986
