case,cores,structure,prefix8,final12,late_gain,search_seconds,late_evaluation_seconds
case_042,2,distributed_components,849115,845091,4024,38.41876889951527,9.007385957986116
case_042,3,distributed_components,562007,559018,2989,42.89815211109817,9.683482773602009
case_042,4,distributed_components,425650,419432,6218,41.546841748058796,10.00218990072608
case_042,5,distributed_components,342520,336330,6190,44.14977351389825,10.83573441579938
case_043,2,dominant_component,353851,353710,141,68.62206544913352,16.90640715137124
case_043,3,dominant_component,267112,267112,0,81.49537146836519,18.585062189027667
case_043,4,dominant_component,269350,266590,2760,77.77499635145068,17.833321820944548
case_043,5,dominant_component,265002,264401,601,72.06647999212146,16.757422041147947
case_044,2,distributed_components,128579,119062,9517,7.739094909280539,1.6670558098703623
case_044,3,distributed_components,123085,123085,0,8.02076442912221,1.762047028169036
case_044,4,distributed_components,120120,120120,0,7.74126435816288,1.3126997370272875
case_044,5,distributed_components,131771,131771,0,8.156967215240002,1.7024890463799238
case_045,2,distributed_components,63059,63059,0,7.045554371550679,1.8281300477683544
case_045,3,distributed_components,42601,42601,0,6.646962571889162,1.7692876290529966
case_045,4,distributed_components,31878,31878,0,6.329928278923035,1.619659772142768
case_045,5,distributed_components,26164,26164,0,6.955476393923163,1.8740517850965261
case_046,2,distributed_components,152419,152419,0,1.9607464000582695,0.4717798999045044
case_046,3,distributed_components,136283,128115,8168,1.9652451000874862,0.44767169980332255
case_046,4,distributed_components,116069,116069,0,1.9386840999359265,0.45604960003402084
case_046,5,distributed_components,123768,111389,12379,2.0152800999348983,0.4821751998970285
case_047,2,dominant_component,276535,276535,0,83.73008402064443,23.939053505659103
case_047,3,dominant_component,241969,241969,0,90.77252006344497,25.633451284840703
case_047,4,dominant_component,225720,225654,66,88.4906212836504,26.032640788704157
case_047,5,dominant_component,222964,222583,381,87.38552086800337,26.34490890428424
case_048,2,dominant_component,206542,197496,9046,7.267940316349268,2.257484946399927
case_048,3,dominant_component,206542,197613,8929,7.561120215803385,2.2644943222403526
case_048,4,dominant_component,206542,197613,8929,7.053668614476919,2.06956684961915
case_048,5,dominant_component,206542,197613,8929,7.490908721461892,2.388712475076318
case_049,2,dominant_component,159015,156968,2047,27.900154093280435,6.549572169780731
case_049,3,dominant_component,148284,132866,15418,30.327111097052693,7.2084724344313145
case_049,4,dominant_component,146153,123251,22902,28.95788754336536,6.780795302242041
case_049,5,dominant_component,144755,117489,27266,30.452363904565573,8.562336694449186
case_050,2,dominant_component,108323,108323,0,30.289683578535914,7.2882252763956785
case_050,3,dominant_component,106519,104366,2153,33.073407949879766,8.679799912497401
case_050,4,dominant_component,105504,98003,7501,34.35362425819039,9.042706655338407
case_050,5,dominant_component,105340,99382,5958,32.87405588105321,8.93878210708499
case_051,2,dominant_component,507303,429872,77431,4.619681194424629,1.5744418427348137
case_051,3,dominant_component,482102,352843,129259,5.745700571686029,1.8915872909128666
case_051,4,dominant_component,482102,336378,145724,6.050490168854594,1.9011655505746603
case_051,5,dominant_component,482102,328989,153113,5.3841751832515,1.5288883727043867
case_052,2,distributed_components,90903,90903,0,2.022821099963039,0.4977950000902638
case_052,3,distributed_components,60160,60160,0,2.025095700053498,0.4737387999193743
case_052,4,distributed_components,45777,45777,0,2.112916999962181,0.5111949999118224
case_052,5,distributed_components,37846,37846,0,2.0084674999816343,0.49843670008704066
case_053,2,dominant_component,828335,774757,53578,85.5078558512032,20.575653763487935
case_053,3,dominant_component,542159,509253,32906,103.30022963136435,25.490891924127936
case_053,4,dominant_component,491606,491606,0,105.17280067875981,24.046158330515027
case_053,5,dominant_component,477080,474708,2372,101.16860939189792,21.764116149395704
case_054,2,dominant_component,510200,510200,0,128.226392025128,25.9778010006994
case_054,3,dominant_component,409397,402111,7286,116.01877906359732,26.447460805997252
case_054,4,dominant_component,362721,362394,327,132.79138424433768,30.848605193197727
case_054,5,dominant_component,333071,333071,0,133.6195802204311,30.695873944088817
case_055,2,distributed_components,60859,56902,3957,2.1885441999183968,0.5213217000709847
case_055,3,distributed_components,42047,38966,3081,2.140688000014052,0.5265581000130624
case_055,4,distributed_components,32118,32118,0,2.2271205000579357,0.5164915999630466
case_055,5,distributed_components,25570,24831,739,2.2329689000034705,0.56586089998018
case_056,2,dominant_component,231882,231882,0,57.98519470356405,12.478026678785682
case_056,3,dominant_component,215200,199699,15501,55.468595165759325,13.272933591157198
case_056,4,dominant_component,213528,189615,23913,56.15678692422807,13.784441201016307
case_056,5,dominant_component,213013,186638,26375,50.68009775131941,13.276346085593104
case_057,2,distributed_components,30047,30047,0,1.5133262999588624,0.3379065999761224
case_057,3,distributed_components,20705,20691,14,1.5696903000352904,0.3694670000113547
case_057,4,distributed_components,16485,16471,14,1.49411600001622,0.36343630007468164
case_057,5,distributed_components,14364,14319,45,1.66900330001954,0.3599252998828888
case_058,2,distributed_components,2270188,2268326,1862,190.995732113719,45.42060591466725
case_058,3,distributed_components,1542012,1532367,9645,183.14055340364575,43.85192103497684
case_058,4,distributed_components,1154389,1152464,1925,194.76403134875,46.586279755458236
case_058,5,distributed_components,1003250,1002440,810,183.0439865346998,44.02063730917871
case_059,2,distributed_components,369318,369318,0,16.699013905599713,4.7035565581172705
case_059,3,distributed_components,257669,254823,2846,19.196732027456164,5.643284160643816
case_059,4,distributed_components,185216,185216,0,17.64218478836119,4.66622150875628
case_059,5,distributed_components,150782,150782,0,17.915748355910182,5.254879737272859
case_060,2,distributed_components,441525,441525,0,45.33182342350483,11.24531390145421
case_060,3,distributed_components,295983,295983,0,43.67905004695058,9.565420085564256
case_060,4,distributed_components,223107,223107,0,43.9878565967083,11.022723753005266
case_060,5,distributed_components,180081,180081,0,46.071565395221114,11.350019482895732
case_061,2,distributed_components,39298,39298,0,2.1691745000425726,0.5144302998669446
case_061,3,distributed_components,28342,28342,0,2.2031986999791116,0.5444976998260245
case_061,4,distributed_components,24024,24024,0,2.11548560007941,0.4925033999606967
case_061,5,distributed_components,22005,21941,64,2.3113957000896335,0.525937799946405
case_062,2,dominant_component,1463796,1463796,0,104.97347440384328,25.871401043608785
case_062,3,dominant_component,982947,982412,535,103.30106843262911,27.951606864109635
case_062,4,dominant_component,757553,744188,13365,100.27317383699119,25.84552837908268
case_062,5,dominant_component,606061,605685,376,89.32005308009684,26.20536964200437
case_063,2,dominant_component,552512,552512,0,35.33341035991907,9.549924725666642
case_063,3,dominant_component,371366,371366,0,34.73365565389395,9.602410914376378
case_063,4,dominant_component,283231,283231,0,35.5880524571985,10.110560942441225
case_063,5,dominant_component,229053,229053,0,34.52577132731676,9.047928193584085
case_064,2,dominant_component,19116,19089,27,1.2540491999825463,0.3424468000885099
case_064,3,dominant_component,19116,19089,27,1.1705932000186294,0.3934235001215711
case_064,4,dominant_component,19076,19076,0,1.229277400067076,0.3602555999532342
case_064,5,dominant_component,19083,19083,0,1.1409741999814287,0.34502999985124916
case_065,2,distributed_components,26802,26410,392,1.1236028999555856,0.2669804999604821
case_065,3,distributed_components,17964,17964,0,1.163730000029318,0.28865380003117025
case_065,4,distributed_components,13800,13800,0,1.2603858000366017,0.30457600008230656
case_065,5,distributed_components,10984,10949,35,1.227469899924472,0.30015379993710667
case_066,2,dominant_component,242005,242005,0,46.129369378089905,10.522165002301335
case_066,3,dominant_component,181433,176353,5080,41.16152846440673,10.727262089028955
case_066,4,dominant_component,178608,162001,16607,41.6738965138793,10.743189226835966
case_066,5,dominant_component,175666,140194,35472,41.888664254918694,11.025714235380292
case_067,2,distributed_components,32203165,32203165,0,73.88835776410997,15.87712525576353
case_067,3,distributed_components,21702412,21585693,116719,72.72874363139272,14.882880004122853
case_067,4,distributed_components,16358776,16358776,0,76.50464714877307,15.59899765625596
case_067,5,distributed_components,13455316,13455316,0,76.66601826436818,15.407986983656883
case_068,2,dominant_component,243395,243395,0,37.05104052089155,8.429978402331471
case_068,3,dominant_component,224168,224168,0,33.176543828099966,8.654097717255354
case_068,4,dominant_component,225518,225518,0,36.61579751223326,9.73148613423109
case_068,5,dominant_component,226454,226325,129,35.58862015046179,10.20527869835496
case_069,2,dominant_component,22000,21862,138,1.506148700020276,0.48623670008964837
case_069,3,dominant_component,22000,21862,138,1.4588724999921396,0.4559525999939069
case_069,4,dominant_component,22000,21862,138,1.5926602999679744,0.4977037999778986
case_069,5,dominant_component,24830,24830,0,1.4063739000121132,0.46625060006044805
case_070,2,distributed_components,58498,58498,0,2.137890400015749,0.5287726997630671
case_070,3,distributed_components,39333,39333,0,2.2083732000319287,0.5184055001009256
case_070,4,distributed_components,30080,30080,0,2.01618779997807,0.46398659993428737
case_070,5,distributed_components,25374,25374,0,2.1877113999798894,0.5183241999475285
case_071,2,dominant_component,18901,18901,0,1.0135789999039844,0.32851679995656013
case_071,3,dominant_component,18757,18757,0,0.9608735999790952,0.2741837002104148
case_071,4,dominant_component,18491,18449,42,1.0858320000115782,0.34434019995387644
case_071,5,dominant_component,18757,18757,0,1.0110095998970792,0.3034182998817414
case_072,2,distributed_components,11841342,11841342,0,279.8570448756218,58.73614550754428
case_072,3,distributed_components,7935290,7929522,5768,305.4602858759463,61.15254870057106
case_072,4,distributed_components,6003776,5990048,13728,353.9033976867795,74.64841946214437
case_072,5,distributed_components,4831281,4830220,1061,363.85866411589086,76.13405984267592
case_073,2,distributed_components,5168597,5168597,0,38.46436536312103,7.680625332519412
case_073,3,distributed_components,3846663,3836078,10585,32.807995507493615,7.15732747502625
case_073,4,distributed_components,3249411,3249411,0,36.494518265128136,7.628091247752309
case_073,5,distributed_components,3017992,3017992,0,36.15908221527934,8.219944695010781
case_074,2,distributed_components,831845,831774,71,29.453089168295264,7.0856569185853004
case_074,3,distributed_components,563098,551928,11170,29.266624752432108,7.1510741002857685
case_074,4,distributed_components,418987,414717,4270,31.152007581666112,7.611793061718345
case_074,5,distributed_components,337275,335011,2264,30.267651561647654,7.46811961941421
case_075,2,dominant_component,1024475,1008737,15738,43.13807191699743,12.939969703555107
case_075,3,dominant_component,927525,778382,149143,45.15499088540673,13.288917433470488
case_075,4,dominant_component,856719,698816,157903,44.924774730578065,13.001516776159406
case_075,5,dominant_component,855215,709725,145490,46.987561823800206,14.419960020110011
case_076,2,distributed_components,3065214,3065214,0,279.035392254591,65.44840827025473
case_076,3,distributed_components,2050028,2050028,0,276.3525307700038,59.187500193715096
case_076,4,distributed_components,1540201,1540201,0,289.6079237163067,69.58181565254927
case_076,5,distributed_components,1240011,1236760,3251,304.54562766104937,74.80468659102917
case_077,2,distributed_components,248734,248734,0,30.426640367135406,7.323315113782883
case_077,3,distributed_components,168976,168976,0,30.942241359502077,7.456939121708274
case_077,4,distributed_components,127832,127832,0,28.890890756621957,6.780045667663217
case_077,5,distributed_components,115617,115141,476,31.855678901076317,6.7127231284976006
case_078,2,distributed_components,1181543,1179848,1695,2.03326349996496,0.44613660010509193
case_078,3,distributed_components,867029,840459,26570,2.0231179000111297,0.47379130008630455
case_078,4,distributed_components,648770,621588,27182,1.9583045999752358,0.48922019999008626
case_078,5,distributed_components,635493,635493,0,2.0469953999854624,0.4631391001166776
case_079,2,distributed_components,14956594,14956594,0,212.29545450396836,40.235712515190244
case_079,3,distributed_components,10106197,10106197,0,197.46167740412056,45.22865057177842
case_079,4,distributed_components,7615964,7609995,5969,200.1762691102922,46.65504557080567
case_079,5,distributed_components,6028657,6022007,6650,218.3692396506667,50.501809576526284
case_080,2,distributed_components,145757,145757,0,2.756951899966225,0.6528350999578834
case_080,3,distributed_components,100325,100325,0,2.7382760000182316,0.6017141998745501
case_080,4,distributed_components,111314,111314,0,2.94687480002176,0.7331982998875901
case_080,5,distributed_components,113455,113455,0,3.241101299994625,0.7869705001357943
case_081,2,distributed_components,76860,76860,0,20.009726367890835,5.625662913545966
case_081,3,distributed_components,51943,51943,0,19.448277017101645,5.637318715453148
case_081,4,distributed_components,39588,39588,0,18.979008795693517,6.077456325292587
case_081,5,distributed_components,30943,30943,0,18.859693311154842,5.321004783734679
case_082,2,dominant_component,498613,497483,1130,21.4099442306906,6.103358943015337
case_082,3,dominant_component,391047,378014,13033,22.64354177005589,6.641291376203299
case_082,4,dominant_component,335484,328283,7201,22.906507432460785,6.762314710766077
case_082,5,dominant_component,317546,312290,5256,22.52443098463118,7.025168852880597
