case,cores,version,position,candidate,makespan,added_copy_bytes,seconds,cache_hit,plan_sha256,improvement_over_prefix
case_019,3,current,7,grain_1.0,33332,322464,0.06353299994952977,False,cb1cc994f5bd0737c4ad996eeb535f042f2af133bdbfea4e0e89fcac46ba1fa9,0
case_019,3,current,8,directed_split,27978,86592,0.05902430007699877,False,4cb7ce66fa23ee1eceafb68c9a05736a3b7fa1935cd4cfcff9f977411bb3f504,385
case_019,3,current,9,region_boundary_1018_0,27848,83520,0.05487240001093596,False,4d4b9e245bc9636d86b16e3d43b9b5adc015268297098c68659578251ce6f7d2,130
case_019,3,current,10,grain_2.0,35275,275232,0.056257099960930645,False,621d49a256042e2501de6507095ba8a7b1229574a405c7be814067ba63867d41,0
case_019,3,current,11,grain_0.25,38491,773232,0.09609390003606677,False,04ba8d9bb3a1be9c614339fbe7712c09bb56f6e39a09d199768f574621045db4,0
case_019,4,current,0,single_task,81144,0,0.006396299926564097,True,e4e86339855966abdc708df02e82e6a274b739aa7f65444930928b48fe3cafba,0
case_019,4,current,1,greedy,28033,265372,0.05673189996741712,False,f2ab8e4aee680300f16b7425b5e4ff29d358cf78a24a7a1f414547dc951fa24c,53111
case_019,4,current,2,multilevel,35678,134552,0.05587519996333867,False,a994ac11e7dc4d9ed1240dda541a06aa1e3008e323d0b65d1370f4d1e3b94dc3,0
case_019,4,current,3,grain_0.5,28951,529828,0.06482570001389831,False,bbc8d692597fd177d6d0e1e517a18de0caff95e299453e3363b92b4381253350,0
case_019,4,current,4,directed_split,28202,289948,0.07139429997187108,False,609e51036be66207a21550220b5f08bdc38746ea793954882aed0082f491b6c7,0
case_019,4,current,5,structural_hybrid_work_1,24533,288384,0.05511389998719096,False,4d4b60075a0c11c1e40b254a447c64dba21808b7b9d146ce582da79babf9d04a,3500
case_019,4,current,6,local_reschedule,24501,288384,0.051526399911381304,False,5e897b17b7a5c544f8e227d1012149c27d1570aa4e7606c001fb3bf87502df57,32
