case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,base_makespan
13,2,routed,132198,8192,263949,1.9966187083011846,12,8,4,3.9920027684420347,0.36160461232066154,True,132198
13,3,legacy,88351,16384,263949,2.98750438591527,12,8,4,6.051512088626623,0.5960880350321531,True,88351
13,3,routed,88351,16384,263949,2.98750438591527,12,8,4,4.278659584000707,0.6097531281411648,True,88351
13,4,legacy,66982,24576,263949,3.9405959810098237,12,8,4,4.336645472794771,0.36729003861546516,True,66982
13,4,routed,66982,24576,263949,3.9405959810098237,12,8,4,5.509266523644328,0.6203669011592865,True,66982
13,5,legacy,54363,32768,263949,4.855305998565201,12,8,4,6.951929774135351,0.43755404464900494,True,54363
13,5,routed,54363,32768,263949,4.855305998565201,12,8,4,7.1810008473694324,0.6267359238117933,True,54363
14,2,legacy,8909568,69998520,17698626,1.9864740916731316,12,11,1,248.63603962026536,18.672752365469933,True,8909568
14,2,routed,8909568,69998520,17698626,1.9864740916731316,12,11,1,240.62914985977113,21.044581661000848,True,8909568
14,3,legacy,5951263,56526504,17698626,2.9739277192085107,12,10,2,297.08840062096715,19.819417463615537,True,5974992
14,3,routed,5951263,56526504,17698626,2.9739277192085107,12,10,2,308.36521725542843,18.455847427248955,True,5974992
14,4,legacy,4526637,59878296,17698626,3.9098840927602545,12,11,1,333.21044333279133,23.929509377107024,True,4526637
14,4,routed,4526637,59878296,17698626,3.9098840927602545,12,11,1,340.65449914336205,24.01798901706934,True,4526637
14,5,legacy,3663108,62443416,17698626,4.831587275068057,12,11,1,357.6480835881084,20.762803738936782,True,3675825
14,5,routed,3663108,62443416,17698626,4.831587275068057,12,11,1,356.84703449718654,21.24190599285066,True,3675825
15,2,legacy,87493,109824,177362,2.027156458230944,12,11,1,2.484753241762519,0.2266807109117508,True,87493
15,2,routed,87493,109824,177362,2.027156458230944,12,11,1,3.540037252008915,0.21555127017199993,True,87493
15,3,legacy,61018,298252,177362,2.906716051001344,12,10,2,2.1252268869429827,0.1292310319840908,True,61018
15,3,routed,61018,298252,177362,2.906716051001344,12,10,2,2.528594618663192,0.2218157909810543,True,61018
15,4,legacy,48866,365824,177362,3.6295583841525807,12,11,1,1.6966636758297682,0.12946927919983864,True,48866
15,4,routed,48866,365824,177362,3.6295583841525807,12,11,1,2.5244547221809626,0.14661142602562904,True,48866
15,5,legacy,42569,326144,177362,4.166459160421903,12,11,1,2.350183477625251,0.13453005626797676,True,42569
15,5,routed,42569,326144,177362,4.166459160421903,12,11,1,1.7720325645059347,0.12501750327646732,True,42569
16,2,legacy,4173199,10976,7715523,1.8488270029778116,12,10,2,151.06249346770346,19.62437581270933,True,4173199
16,2,routed,4027025,404200,7715523,1.9159362060081573,12,10,2,134.36108527705073,11.507913017645478,True,4027025
16,3,legacy,2965268,15244,7715523,2.6019648139729696,12,10,2,145.97562151961029,7.702011656016111,True,2965268
16,3,routed,2877849,341100,7715523,2.6810034160930614,12,10,2,142.27091455087066,9.549485681578517,True,2877849
16,4,legacy,2402049,17056,7715523,3.2120589546674525,12,10,2,149.30036811716855,9.281466180458665,True,2402049
16,4,routed,2244367,605676,7715523,3.4377278760559213,12,10,2,150.5180834531784,9.016300175338984,True,2244367
16,5,legacy,2239322,869268,7715523,3.445472781493684,12,10,2,178.15413444302976,10.987332817167044,True,2239322
16,5,routed,2088965,444880,7715523,3.6934668603830128,12,10,2,163.18700999207795,10.635376185178757,True,2088965
17,2,legacy,76658,87552,162810,2.1238487829058936,12,11,1,2.6931639052927494,0.1807239893823862,True,77533
17,2,routed,76658,87552,162810,2.1238487829058936,12,11,1,2.94672985188663,0.2955808937549591,True,77533
17,3,legacy,49850,175104,162810,3.2659979939819457,12,11,1,5.410886384546757,0.33077059872448444,True,52121
17,3,routed,49850,175104,162810,3.2659979939819457,12,11,1,3.975650267675519,0.312052670866251,True,52121
17,4,legacy,39668,259200,162810,4.104315821316931,12,11,1,5.690281068906188,0.31909338012337685,True,39668
17,4,routed,39668,259200,162810,4.104315821316931,12,11,1,4.458443455398083,0.18856287375092506,True,39668
17,5,legacy,33081,331776,162810,4.921556180284756,12,11,1,2.9453146439045668,0.2991608250886202,True,33081
17,5,routed,33081,331776,162810,4.921556180284756,12,11,1,2.4550455641001463,0.17627635411918163,True,33081
