case,cores,outcome,loss_type,legacy_base,routed_base,legacy_final,routed_final,base_gap,legacy_J_gain,routed_J_gain,final_gap,J_gain_difference,same_anchor,legacy_base_name,routed_base_name,legacy_base_slot,routed_base_slot,legacy_base_missing_from_routed,old_base_alone_beats_routed_final,ops,largest_fraction,legacy_final_bytes,routed_final_bytes,keep_old_chain_anchor_known,keep_old_chain_cycles,keep_old_chain_bytes,keep_old_chain_J_source,keep_old_depth_anchor_known,keep_old_depth_cycles,keep_old_depth_bytes,keep_old_depth_J_source
30,4,tie,not_loss,697351,697351,697351,697351,0,0,0,0,0,True,components_reuse,components_reuse,4,4,False,False,11248,0.005660377358490566,6002688,6002688,True,697351,6002688,legacy,True,697351,6002688,legacy
30,5,tie,not_loss,559882,559882,559882,559882,0,0,0,0,0,True,components_reuse,components_reuse,4,4,False,False,11248,0.005660377358490566,7484416,7484416,True,559882,7484416,legacy,True,559882,7484416,legacy
31,2,tie,not_loss,712262,712262,712262,712262,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,6805,0.34995925020374896,5250048,5250048,True,712262,5250048,legacy,True,712262,5250048,legacy
31,3,tie,not_loss,473822,473822,473822,473822,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,6805,0.34995925020374896,7544832,7544832,True,473822,7544832,legacy,True,473822,7544832,legacy
31,4,tie,not_loss,360134,360134,360134,360134,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,6805,0.34995925020374896,7808000,7808000,True,360134,7808000,legacy,True,360134,7808000,legacy
31,5,tie,not_loss,284848,284848,284848,284848,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,6805,0.34995925020374896,7931904,7931904,True,284848,7931904,legacy,True,284848,7931904,legacy
32,2,tie,not_loss,17571,17571,17566,17566,0,5,5,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,1035,0.22853688029020555,6216,6216,True,17566,6216,legacy,True,17566,6216,legacy
32,3,tie,not_loss,11910,11910,11910,11910,0,0,0,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,1035,0.22853688029020555,12360,12360,True,11910,12360,legacy,True,11910,12360,legacy
32,4,tie,not_loss,10756,10756,10728,10728,0,28,28,0,0,True,depth8,depth8,7,7,False,False,1035,0.22853688029020555,74980,74980,True,10728,74980,legacy,True,10728,74980,legacy
32,5,tie,not_loss,10414,10414,10414,10414,0,0,0,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,1035,0.22853688029020555,12360,12360,True,10414,12360,legacy,True,10414,12360,legacy
