case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
17,2,76658,87552,2.1238487829058936,2.5229068864136934,r07_reserve_fast
17,3,49850,175104,3.2659979939819457,2.850412441417575,r07_reserve_fast
17,4,39668,259200,4.104315821316931,3.057128045707941,r07_reserve_fast
17,5,33081,331776,4.921556180284756,2.3849296402186155,r07_reserve_fast
18,1,1004367,1970176,1.0,0.0,prescribed_single_reference
18,2,502491,2638848,1.998776097482343,5.645900044590235,r07_reserve_fast
18,3,337417,3971072,2.9766342537572203,6.1055647525936365,r07_reserve_fast
18,4,253676,4938752,3.9592511707847806,9.76751614920795,r07_reserve_fast
18,5,205917,5320704,4.8775331808447095,6.679100923240185,r07_reserve_fast
19,1,81144,0,1.0,0.0,prescribed_single_reference
19,2,38506,354360,2.1073079520074796,1.2840551417320967,r07_reserve_fast
19,3,27716,54336,2.9276951941117044,0.8199697993695736,r07_reserve_fast
19,4,22276,762456,3.6426647513018495,1.6492437403649092,r07_reserve_fast
19,5,18267,255068,4.442108720643784,1.4185063354671001,r07_reserve_fast
20,1,532746,0,1.0,0.0,prescribed_single_reference
20,2,266580,0,1.9984469952734638,13.738475102931261,r07_reserve_fast
20,3,177950,0,2.993796010115201,15.620092142373323,r07_reserve_fast
20,4,133704,0,3.984518039849219,14.116704659536481,r07_reserve_fast
20,5,107650,0,4.948871342313051,16.317054368555546,r07_reserve_fast
21,1,6567937,4501504,1.0,0.0,prescribed_single_reference
21,2,3174339,33017856,2.0690723328541782,13.196155359968543,r07_reserve_fast
21,3,2090922,34854912,3.141167867572296,14.968159161508083,r07_reserve_fast
21,4,1550324,4608000,4.236493145948847,9.505147486925125,r07_reserve_fast
21,5,1250168,11431936,5.253643510312214,13.501788618043065,r07_reserve_fast
22,1,56780,0,1.0,0.0,prescribed_single_reference
22,2,27860,145236,2.0380473797559224,2.2070497814565897,r07_reserve_fast
22,3,18978,13824,2.9918853409210664,2.717607907950878,r07_reserve_fast
22,4,14336,20736,3.960658482142857,2.087131228297949,r07_reserve_fast
22,5,11479,20736,4.9464239045213,2.1601724568754435,r07_reserve_fast
23,1,122614,0,1.0,0.0,prescribed_single_reference
23,2,60965,74016,2.0112195522020833,1.8376188855618238,r07_reserve_fast
23,3,40682,207264,3.0139619487734133,1.554780576378107,r07_reserve_fast
23,4,30516,281280,4.018023332022546,1.6611305065453053,r07_reserve_fast
23,5,24940,280992,4.91635926222935,1.5382954645901918,r07_reserve_fast
24,1,2555343,0,1.0,0.0,prescribed_single_reference
24,2,1335245,396856,1.9137633917370969,20.908227426931262,r07_reserve_fast
24,3,954537,332124,2.677049711011726,29.17203037440777,r07_reserve_fast
24,4,748435,595068,3.4142483983245038,31.549285931512713,r07_reserve_fast
24,5,695849,432232,3.672266540585673,38.531095165759325,r07_reserve_fast
25,1,4863026,0,1.0,0.0,prescribed_single_reference
25,2,2431840,27648,1.9997310678334101,218.33382674120367,r07_reserve_fast
25,3,1622164,55296,2.9978633479722148,231.8624963015318,r07_reserve_fast
25,4,1217444,82944,3.9944555971362954,268.1772393528372,r07_reserve_fast
25,5,975282,110592,4.986276789687495,294.2605238966644,r07_reserve_fast
26,1,99203,0,1.0,0.0,prescribed_single_reference
26,2,51429,21936,1.9289311477959905,0.8392033521085978,r07_reserve_fast
26,3,41688,95664,2.379653617347918,0.9442740511149168,r07_reserve_fast
26,4,42226,172128,2.3493345332259743,0.9853875320404768,r07_reserve_fast
26,5,38198,835212,2.5970731451908478,2.2152990959584713,r07_reserve_fast
27,1,2363952,1400832,1.0,0.0,prescribed_single_reference
27,2,1120962,1744896,2.10886006840553,3.17224083468318,r07_reserve_fast
27,3,744579,18481152,3.174884062000137,5.938524255529046,r07_reserve_fast
27,4,559196,3317760,4.227412213249022,4.8833275232464075,r07_reserve_fast
27,5,499622,21954560,4.731480999635725,16.057671094313264,r07_reserve_fast
28,1,43836040,277412256,1.0,0.0,prescribed_single_reference
28,2,20517451,75738432,2.136524658935459,305.5074355006218,r07_reserve_fast
28,3,13687852,44350128,3.202550699700727,330.3071391917765,r07_reserve_fast
28,4,10347838,74883456,4.23625108935799,299.4523912630975,r07_reserve_fast
