case,cores,makespan,added,single,no_l2_makespan,no_l2_added,cache_hit_rate,same_plan_cache_ratio
52,4,43391,259584,180301,44506,259584,0.2168380034928031,1.0256965730220553
53,4,388744,8679750,1472686,394500,8679750,0.22210172934190833,1.0148066593953862
54,4,272727,7284480,815051,274306,7284480,0.14503722016206566,1.005789672456339
55,4,29269,74240,118835,29269,74240,0.09436345244966654,1.0
56,4,114420,3675902,277285,115534,3675902,0.13975434179674037,1.009736060129348
57,4,16345,28224,59726,16345,28224,0.07736587612249597,1.0
58,4,1118404,38928384,4539717,1130116,38928384,0.28450678895782755,1.0104720655505524
59,4,185216,1081344,829473,185216,1081344,0.0,1.0
60,4,217158,3320192,888789,217728,3320192,0.4509238003144538,1.0026248169535545
61,4,22085,53760,77191,22111,53760,0.07922435078187208,1.0011772696400272
62,4,722454,2582016,2854809,722454,2582016,0.0012282497441146367,1.0
63,4,270138,1420800,1070397,270138,1420800,0.008566978193146417,1.0
64,4,9994,131980,19116,10007,131980,0.22002024399339407,1.001300780468281
65,4,11338,41616,53068,11464,41616,0.10842102796071906,1.0111130710883753
66,4,112359,3806464,359070,116226,3806464,0.2231238084909997,1.0344164686406963
67,4,16091598,224860288,63834834,16614171,224860288,0.37848872057854255,1.032474897769631
68,4,152583,2646854,362095,156693,2646854,0.08761547141365571,1.02693615933623
69,4,13520,361896,25144,14177,361896,0.2932068709195992,1.048594674556213
70,4,29272,333312,117300,29290,333312,0.24404583294608123,1.0006149221098661
71,4,9541,223564,18919,10259,223564,0.2320725740804458,1.0752541662299548
72,4,5944202,125192992,23897828,5949999,125192992,0.14467310984278375,1.0009752360367297
73,4,2804718,138700416,10081626,3368258,138700416,0.36264634379820176,1.2009257258662012
74,4,408908,6623232,1682239,408908,6623232,0.41709238129158266,1.0
75,4,457083,11096688,1441809,462730,11096688,0.24657244027206435,1.0123544301581988
76,4,1526713,19563520,6185113,1527039,19563520,0.5526338403368566,1.000213530637389
77,4,126308,237568,495320,126549,237568,0.052931659231767264,1.0019080343287836
78,4,531949,6950784,2296143,540759,6950784,0.6987599895760945,1.0165617380613554
79,4,7456209,51107840,31052251,7459488,51107840,0.3447270895549239,1.0004397677157386
80,4,80643,1994752,292138,83835,1994752,0.2891304347826087,1.0395818607938694
81,4,38500,127080,151795,38500,127080,0.07470765211470182,1.0
82,4,232001,6416144,721041,235608,6416144,0.24412847662318887,1.0155473467786778
83,4,217945,6953760,1057993,220202,6953760,0.33219742598110696,1.0103558237169927
84,4,617896,9216,2507412,617896,9216,0.0,1.0
85,4,989911,27902578,3187899,995687,27902578,0.18629648396483525,1.0058348679830813
86,4,55397,2204494,118403,58950,2204494,0.2983684498999401,1.0641370471325162
87,4,1042938,12655552,3974071,1046832,12655552,0.2440615369495627,1.0037336831144326
88,4,107657,1823044,243623,108932,1823044,0.11184694304673388,1.0118431685816993
89,4,165365,1827200,693092,165365,1827200,0.10273485547355474,1.0
90,4,258453,7548576,1178363,296947,7548576,0.38474550409866254,1.1489400393882059
91,4,2289607,67112896,9186769,2314443,67112896,0.485452953876178,1.0108472764103185
