case,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction,average_point_loss_contribution,core2_loss_contribution,core3_loss_contribution,core4_loss_contribution,core5_loss_contribution,gates
case_030,10070,486,11,0.005660377358490566,0.007304212528093125,-3.091285987679604e-05,-4.5018258694362605e-06,-4.805309424428916e-05,0.0,-7.109651939345873e-05,eligible
case_075,7410,1,459,1.0,1.0,-4.272299365919332e-05,7.164362933800294e-05,-0.0008067043441133692,-0.0009405976134869465,0.0015047663536255395,insufficient_independent_components
case_077,4486,41,134,0.4672313865358894,0.17979394930498774,-4.4277300245392225e-05,0.0,0.0,0.0,-0.0001771092009815689,eligible
case_031,6135,107,135,0.34995925020374896,0.04217761416389677,-4.7425137372051344e-05,0.0,0.0,-0.00018970054948820537,0.0,eligible
case_011,688,16,21,0.0625,0.0625,-4.981239165075424e-05,0.0,0.0,0.0,-0.00019924956660301695,eligible
case_059,2752,64,21,0.015625,0.015625,-6.431540868692687e-05,0.0,-0.00025726163474770747,0.0,0.0,eligible
case_065,704,42,27,0.08664772727272728,0.05801959258594202,-6.533233131922556e-05,-0.0002938889000495903,0.00018700170556288587,0.0,-0.00015444213079019776,eligible
case_033,3465,95,33,0.01847041847041847,0.02140727442044734,-7.716017934140117e-05,-2.5876756451199688e-05,-6.939905224372821e-05,0.0,-0.0002133649086706768,eligible
case_038,5907,130,35,0.019637717961740308,0.01984169116189421,-9.024436140883774e-05,0.0,-0.00010161777854877485,-0.00017358684137258606,-8.577282571399003e-05,eligible
case_053,11670,39,240,0.8443016281062553,0.28816896809336984,-0.00010417836318540378,9.502910171136359e-05,-0.001951517549799675,0.0025725854025976424,-0.001132810407250946,dominant_component;eligible
case_022,1356,32,35,0.13495575221238937,0.1307080858839653,-0.00013215473674063727,0.0,0.0,0.0,-0.0005286189469625491,eligible
case_094,647,40,35,0.06800618238021638,0.06573756432246998,-0.00013989117552856922,0.0,0.0,-0.0005595647021142769,0.0,eligible
case_018,2727,126,27,0.021635496883021636,0.027036250416544547,-0.00017445008555381892,-0.00012127123557872376,-0.00023721644623182048,0.0,-0.0003393126604047314,eligible
case_066,5962,28,153,0.6164038913116404,0.6847608183542466,-0.00037294833875929856,0.0011709599384301073,-0.0010762461625658127,0.00015707805443972766,-0.0017435851853412165,dominant_component
case_042,4733,104,52,0.054510881047961125,0.03397345571504564,-0.0003839902086035868,0.0001183143273674081,-0.00016047468878835236,-0.0005874686055208667,-0.0009063318674725362,eligible
case_012,972,50,18,0.10082304526748971,0.18342843140686807,-0.0005027054283675841,-0.0004028234112156004,-0.0005760381574963969,-0.0010319601447583394,0.0,eligible
case_016,17995,1,2439,1.0,1.0,-0.0005360211474178378,-0.00045204785492027,-0.0009289947679684807,-0.0011094722029345605,0.00034643023615196,insufficient_independent_components
case_034,3745,155,23,0.025100133511348464,0.013855221370293441,-0.000584281186836837,3.316010725888052e-05,0.0,-0.0012860861177891136,-0.0010841987368171147,eligible
case_055,1236,24,27,0.14805825242718446,0.10838296001999431,-0.0008231764602042834,-0.0005607490451511588,-0.002234679411389555,0.0008858553855825901,-0.0013831327698590101,eligible
