case,cores,single_makespan,baseline_makespan,makespan,external_makespan,baseline_speedup,speedup,external_speedup,baseline_added_bytes,added_bytes,external_added_bytes,spill_added_bytes,partition_added_bytes,mean_speedup_loss_contribution,gate,tasks,used_cores,solve_seconds,validation_seconds,local_prepare_seconds,best_candidate,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction
case_050,3,149690,104366,104366,85788,1.4342793630109423,1.4342793630109423,1.7448827341819368,3416202,3416202,1078840,0,3416202,0.0031060337117099455,dominant_component,570,3,21.520868364721537,5.26714526489377,0,grain_0.25,4555,23,185,0.8805708013172339,0.7062950476204528
case_050,4,149690,98003,98003,77332,1.5274022223809476,1.5274022223809476,1.9356799255159571,3448972,3448972,1078840,0,3448972,0.004082777031350095,dominant_component,571,4,23.084925457835197,5.100497480481863,0,directed_split,4555,23,185,0.8805708013172339,0.7062950476204528
case_050,5,149690,99382,99382,74892,1.506208367712463,1.506208367712463,1.998744859264007,3424394,3424394,1078840,0,3424394,0.00492536491551544,dominant_component,571,5,21.62371983192861,5.268806682899594,0,directed_split,4555,23,185,0.8805708013172339,0.7062950476204528
case_051,2,607628,429872,429872,425966,1.4135091376037519,1.4135091376037519,1.426470657282506,10225204,10225204,9045718,0,10225204,0.00012961519678754253,insufficient_independent_components,177,2,5.304070297628641,0.7798831593245268,0,grain_0.25,1416,1,191,1.0,1.0
case_051,3,607628,352843,352843,370560,1.7220916951732073,1.7220916951732073,1.6397560449050086,10225204,10225204,9045718,0,10225204,-0.0008233565026819867,insufficient_independent_components,177,3,5.329703511670232,0.721726905554533,0,grain_0.25,1416,1,191,1.0,1.0
case_051,4,607628,336378,336378,333358,1.8063844841220293,1.8063844841220293,1.8227491165653742,10225204,10225204,9045718,0,10225204,0.00016364632443344852,insufficient_independent_components,178,4,3.710572563111782,0.5664743669331074,0,directed_split,1416,1,191,1.0,1.0
case_051,5,607628,328989,328989,317741,1.8469553693284577,1.8469553693284577,1.9123374068817056,10225204,10225204,9045718,0,10225204,0.000653820375532479,insufficient_independent_components,178,5,5.767980836331844,0.7701846361160278,0,directed_split,1416,1,191,1.0,1.0
case_052,2,180301,102068,90903,90903,1.7664792099384723,1.9834438907406797,1.9834438907406797,1106430,102912,102912,0,102912,0.0,eligible,2,2,5.03882535174489,0.5281277801841497,1.2624237351119518,structural_component_lpt,1008,52,16,0.11904761904761904,0.03673594095410404
case_052,3,180301,69095,60160,60160,2.6094652290324913,2.99702460106383,2.99702460106383,1106430,181248,181248,0,181248,0.0,eligible,3,3,5.87696791999042,0.567687027156353,1.7114872597157955,structural_component_lpt,1008,52,16,0.11904761904761904,0.03673594095410404
case_052,4,180301,55828,45777,45777,3.2295801389983523,3.9386809970072307,3.9386809970072307,1087998,254976,254976,0,254976,0.0,eligible,4,4,6.1314318515360355,0.5920420084148645,1.7812921851873398,structural_component_lpt,1008,52,16,0.11904761904761904,0.03673594095410404
case_052,5,180301,56150,37846,37846,3.211059661620659,4.76407017914707,4.76407017914707,1101822,333312,333312,0,333312,0.0,eligible,5,5,3.6616944428533316,0.3376521114259958,1.0038779228925705,structural_component_lpt,1008,52,16,0.11904761904761904,0.03673594095410404
case_053,2,1472686,827162,774757,770903,1.780408190898518,1.9008360040632095,1.9103389142343459,14142054,5959552,8248608,4924800,1034752,9.502910171136359e-05,eligible,2,2,101.9007626362145,126.99087412469089,29.182388082146645,structural_component_pipe,11670,39,240,0.8443016281062553,0.28816896809336984
case_053,3,1472686,631866,509253,546106,2.3306935331225294,2.89185532534909,2.6967035703691224,18095268,6480220,5882944,3559008,2921212,-0.001951517549799675,eligible,5,3,103.08016254380345,95.86549787037075,31.03615807183087,region_repartition_2_0,11670,39,240,0.8443016281062553,0.28816896809336984
case_053,4,1472686,538539,538539,492232,2.734594894705862,2.734594894705862,2.991853434965626,20267908,20267908,6360992,0,20267908,0.0025725854025976424,dominant_component,731,4,65.02513054944575,17.022087436169386,0,local_reschedule,11670,39,240,0.8443016281062553,0.28816896809336984
case_053,5,1472686,474708,474708,492699,3.102298676238867,3.102298676238867,2.9890176355137723,20272004,20272004,6918912,0,20272004,-0.001132810407250946,dominant_component,732,5,74.18439332582057,15.214094400405884,0,directed_split,11670,39,240,0.8443016281062553,0.28816896809336984
case_054,2,815051,510200,510200,517960,1.597512740101921,1.597512740101921,1.5735790408525754,6569360,6569360,49152,0,6569360,-0.0002393369924934552,dominant_component,169,2,92.24879780970514,9.82107294537127,0,directed_split,15751,24,353,0.97708082026538,0.5840315453962877
case_054,3,815051,402111,402111,406980,2.0269303749462213,2.0269303749462213,2.0026807214113718,6732340,6732340,6449034,0,6732340,-0.00024249653534849536,dominant_component,180,3,94.66986870579422,10.88837644457817,0,directed_split,15751,24,353,0.97708082026538,0.5840315453962877
case_054,4,815051,362394,362394,351079,2.2490742120454534,2.2490742120454534,2.3215601047057786,11175330,11175330,6449034,0,11175330,0.0007248589266032513,dominant_component,985,4,102.10813435167074,26.928794395178556,0,region_boundary_15600_0,15751,24,353,0.97708082026538,0.5840315453962877
case_054,5,815051,333071,333071,319320,2.447078851055781,2.447078851055781,2.5524583489916073,11208098,11208098,6449034,0,11208098,0.0010537949793582647,dominant_component,987,5,100.79290069267154,21.731156622990966,0,directed_split,15751,24,353,0.97708082026538,0.5840315453962877
case_055,2,118835,67319,56902,58472,1.7652520090910442,2.0884151699413027,2.032340265426187,841690,176664,57856,0,176664,-0.0005607490451511588,eligible,3,2,6.759991820901632,0.6007396169006824,2.1034038085490465,directed_split,1236,24,27,0.14805825242718446,0.10838296001999431
case_055,3,118835,46854,38966,42047,2.5362829214154607,3.049710003592876,2.8262420624539204,841690,168968,115712,0,168968,-0.002234679411389555,eligible,4,3,7.006923817098141,0.6462649274617434,2.0593386460095644,directed_split,1236,24,27,0.14805825242718446,0.10838296001999431
case_055,4,118835,43548,32118,31367,2.7288279599522367,3.699950183697615,3.788535722255874,1231458,173568,115712,0,173568,0.0008858553855825901,eligible,4,4,6.13454264588654,0.5849100220948458,1.7965500839054585,structural_component_lpt,1236,24,27,0.14805825242718446,0.10838296001999431
case_055,5,118835,37477,24831,25570,3.1708781385916693,4.785751681366034,4.647438404380133,1236058,280068,173568,0,280068,-0.0013831327698590101,eligible,6,5,6.757200689986348,0.6048980541527271,1.9334417190402746,directed_split,1236,24,27,0.14805825242718446,0.10838296001999431
case_056,2,277285,231882,231882,217904,1.1958021752443053,1.1958021752443053,1.272509912622072,4095676,4095676,2871960,0,4095676,0.000767077373777667,dominant_component,241,2,39.824871646240354,4.799813376739621,0,directed_split,7678,19,299,0.9721281583745767,0.9687704561440601
case_056,3,277285,199699,199699,185223,1.3885147146455414,1.3885147146455414,1.4970333057989558,6006214,6006214,2871960,0,6006214,0.0010851859115341433,dominant_component,960,3,40.10290518030524,12.87839956022799,0,grain_0.25,7678,19,299,0.9721281583745767,0.9687704561440601
case_056,4,277285,189615,189615,172573,1.462357935817314,1.462357935817314,1.6067693092198663,6006214,6006214,2871960,0,6006214,0.0014441137340255228,dominant_component,960,4,46.78255217894912,13.238586716353893,0,grain_0.25,7678,19,299,0.9721281583745767,0.9687704561440601
case_056,5,277285,186638,186638,162534,1.4856835156827655,1.4856835156827655,1.7060122805074631,6006214,6006214,2871960,0,6006214,0.0022032876482469765,dominant_component,960,5,46.364502400159836,13.38510942272842,0,grain_0.25,7678,19,299,0.9721281583745767,0.9687704561440601
case_057,2,59726,34504,30047,30183,1.730987711569673,1.9877525210503544,1.9787960109995693,671380,182060,22304,8192,173868,-8.956510050785127e-05,eligible,3,2,3.3087512720376253,0.3469747845083475,0.8288124017417431,region_boundary_1339_0,865,21,100,0.223121387283237,0.22689281771828074
case_057,3,59726,24898,20691,20705,2.398827215037352,2.8865690396790877,2.884617242212026,663192,18228,14112,0,18228,-1.9517974670617554e-05,eligible,4,3,4.224649924784899,0.3291180096566677,1.2095618359744549,region_repartition_2_0,865,21,100,0.223121387283237,0.22689281771828074
case_057,4,59726,22296,16471,16485,2.6787764621456764,3.626130775302046,3.6230512587200487,671384,32328,28224,0,32328,-3.079516581997233e-05,eligible,5,4,4.321961609646678,0.29893503710627556,1.208209354430437,region_repartition_2_0,865,21,100,0.223121387283237,0.22689281771828074
case_057,5,59726,22616,22616,14028,2.6408737177219668,2.6408737177219668,4.257627601938979,857806,857806,14112,0,857806,0.01616753884217012,dominant_component,56,5,3.226296404376626,0.3564480245113373,0,region_boundary_271_0,865,21,100,0.223121387283237,0.22689281771828074
case_058,2,4539717,2658985,2658985,2217447,1.70731200063182,1.70731200063182,2.047271930287398,77066240,77066240,55418880,0,77066240,0.0033995992965557796,all_components_have_large_union_footprint,259,2,281.2463957853615,11.84736229851842,0,random_boundary,16575,255,6,0.00392156862745098,0.00392156862745098
case_058,3,4539717,1910788,1910788,1554831,2.3758349958237126,2.3758349958237126,2.9197494775959574,75853824,75853824,30400512,0,75853824,0.005439144817722448,all_components_have_large_union_footprint,168,3,321.6399128418416,16.476131830364466,0,local_reschedule,16575,255,6,0.00392156862745098,0.00392156862745098
case_058,4,4539717,1624923,1624923,1154519,2.7938043833461648,2.7938043833461648,3.9321284448328697,75767808,75767808,42622976,0,75767808,0.011383240614867049,all_components_have_large_union_footprint,167,4,308.9394502937794,16.47474956139922,0,region_boundary_5099_0,16575,255,6,0.00392156862745098,0.00392156862745098
case_058,5,4539717,1524911,1524911,1004819,2.9770373484091857,2.9770373484091857,4.517945022934478,77762560,77762560,32104448,0,77762560,0.015409076745252928,all_components_have_large_union_footprint,260,5,311.63344384916127,17.768632335588336,0,local_reschedule,16575,255,6,0.00392156862745098,0.00392156862745098
case_059,2,829473,387674,369318,369318,2.1396147278383384,2.2459587672412393,2.2459587672412393,12056576,360448,360448,0,360448,0.0,eligible,2,2,15.29641218855977,2.308484548702836,1.298761086538434,structural_component_lpt,2752,64,21,0.015625,0.015625
case_059,3,829473,263398,254823,256853,3.149124139135453,3.2550947128006498,3.229368549325879,12072960,4196352,6172672,253952,3942400,-0.00025726163474770747,eligible,6,3,20.35013633593917,2.641217151656747,2.506996864452958,directed_split,2752,64,21,0.015625,0.015625
case_059,4,829473,230764,185216,185216,3.594464474528089,4.478408992743607,4.478408992743607,12089344,1081344,1081344,0,1081344,0.0,eligible,4,4,16.9604705106467,1.0662871561944485,2.153924524784088,structural_component_lpt,2752,64,21,0.015625,0.015625
