case,cores,method,makespan,baseline_makespan,speedup,added_copy_bytes,plan_path,plan_sha256,evidence
case_023,2,component_lpt,61065,122614,2.0079259805125687,73728,solutions/2cores/case_023_multicore_res.json,10ccbccb140f4788d3f861e2252a8cb022a6493d7732dc02fdc49377e812a050,new_full_search_and_replay
case_023,3,component_lpt,40682,122614,3.0139619487734133,207264,solutions/3cores/case_023_multicore_res.json,383cfec1eefce0968228c3f68ab913da8e6893521eb5acc151459656f424ef3c,new_full_search_and_replay
case_023,4,component_lpt,30516,122614,4.018023332022546,281280,solutions/4cores/case_023_multicore_res.json,de14178d52cafca22aed5f1bb44e30e2896b3eeda5f4da71d978dd16608ab720,new_full_search_and_replay
case_023,5,component_lpt,24573,122614,4.989785536971473,344640,solutions/5cores/case_023_multicore_res.json,404b631c7996f0b15d5ebf27f4fdfe0ecd92a2d26f878a4e42e9fe18ac31aa50,delivered_method_reconstruction_and_replay
case_024,1,official_singlecore,2555343,2555343,1.0,0,solutions/1cores/case_024_multicore_res.json,3f6ba4b0f374750256c442f6bff12ee90e8c8c76c00655298e84b9a94fbfee98,new_full_search_and_replay
case_024,2,bundle_pack,1506718,2555343,1.6959663321205427,39327048,solutions/2cores/case_024_multicore_res.json,0ec04a50811b14bf0511954c89e6fe5b9b19e667e19a74ddcb07676fb156941f,new_full_search_and_replay
case_024,3,bundle_pack,1228774,2555343,2.0795874587190157,39327248,solutions/3cores/case_024_multicore_res.json,7abfca198d5188f3ddd313130f792c64dd66def3301a894930861c3a459e6615,new_full_search_and_replay
case_024,4,bundle_pack,1072818,2555343,2.3818979547323034,39327448,solutions/4cores/case_024_multicore_res.json,bb8aadc974ac128f86d9f7a2b9b2afaeb0a92ffc4a3f6d523496c5b9cf0b0de3,new_full_search_and_replay
case_024,5,bundle_pack,1067515,2555343,2.3937302988716787,39327648,solutions/5cores/case_024_multicore_res.json,bba0c2d0accf3b2fa4326b8f24289559a04e5165d3b76beda587e8a46f66b4c5,delivered_method_reconstruction_and_replay
case_025,1,official_singlecore,4863026,4863026,1.0,0,solutions/1cores/case_025_multicore_res.json,866297d2cabe14158ebe6e57cc86e522d8f888041f24e5804988ac43e71152bd,new_full_search_and_replay
