case,cores,config,makespan,added_copy_bytes,single_makespan,speedup,source,evaluation_sha256
case_015,3,routes_gate_reuse,61018,298252,177362,2.906716051001344,图表/runs/20260924-A-q1-event-ranking-full100/case_015_3cores_seed0_routes_gate_reuse,ffb50293f6cab220bfb66602e97ef2c377f556d73f92519d282eb559fa40e4d5
case_015,4,routes_gate_reuse,48866,365824,177362,3.6295583841525807,图表/runs/20260924-A-q1-event-ranking-full100/case_015_4cores_seed0_routes_gate_reuse,098584f832bdfedbaa2f4d0680a90dc312ea48d6f6fc117fe1ef439678495a73
case_015,5,routes_gate_reuse,44068,331776,177362,4.024734501225379,图表/runs/20260924-A-q1-event-ranking-full100/case_015_5cores_seed0_routes_gate_reuse,d736b6dd98f2479ecb5b11d15bd42c09a94332aafe0260750d35adf47517c350
case_016,1,fixed_single,7715523,0,7715523,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_016,96b5ecce2224bf71eefecaef4923ca39e9ba96d6e62e961172fe9ae867b15edf
case_016,2,routes_gate_reuse,5440637,134500220,7715523,1.4181286125135715,图表/runs/20260924-A-q1-event-ranking-full100/case_016_2cores_seed0_routes_gate_reuse,c3d3bf8d87173ca2fa96dc1b81ad93f3072ebeb19559d16ea4a53ada7e8ae73d
case_016,3,routes_gate_reuse,4478897,134500220,7715523,1.7226390783266505,图表/runs/20260924-A-q1-event-ranking-full100/case_016_3cores_seed0_routes_gate_reuse,a76c43df11ca03136500ed6f253dfbaaf7b1d6774310f850dd7807b6416a0b2d
case_016,4,routes_gate_reuse,4266542,134500220,7715523,1.808378541685515,图表/runs/20260924-A-q1-event-ranking-full100/case_016_4cores_seed0_routes_gate_reuse,31519ba3c50f67a56bdda5557d958314d1bb43bfdec6f03904d76627b289402c
case_016,5,routes_gate_reuse,4158373,134500220,7715523,1.8554186938016384,图表/runs/20260924-A-q1-event-ranking-full100/case_016_5cores_seed0_routes_gate_reuse,c540b81215c06f51d758e66a9ae4d652a89fac171a6e2f553dd03ceb43073fe3
case_017,1,fixed_single,162810,22528,162810,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_017,9aef581d35ecb91830a8d39f049c31d0cc909cc8776cab553cddfac7cc0d56e5
case_017,2,routes_gate_reuse,81117,110100,162810,2.0071008543215356,图表/runs/20260924-A-q1-event-ranking-full100/case_017_2cores_seed0_routes_gate_reuse,9647c139cc939b8a707e4598a84caf7023678cc97d902e98d03b2832393cf0a8
case_017,3,routes_gate_reuse,53799,196920,162810,3.0262644287068534,图表/runs/20260924-A-q1-event-ranking-full100/case_017_3cores_seed0_routes_gate_reuse,efe0ce4f74460dad1964dbda1a9130b4febe39c6dd8c0753b1cbeedf305ca946
case_017,4,routes_gate_reuse,41101,285984,162810,3.961217488625581,图表/runs/20260924-A-q1-event-ranking-full100/case_017_4cores_seed0_routes_gate_reuse,921adefb75ee8177b0a73298e125f1d5caf1f9650b2b53a79bfad4ebffde6600
case_017,5,routes_gate_reuse,33081,359460,162810,4.921556180284756,图表/runs/20260924-A-q1-event-ranking-full100/case_017_5cores_seed0_routes_gate_reuse,224c3a06821fc5bf4288f40c2c72fc9c27896ef494d20737f69f77062c2e1e3f
case_018,1,fixed_single,1004367,1970176,1004367,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_018,0f8e94dff46a387bea3a8987077777d8499e6219575a5237b1940f9452a33334
case_018,2,routes_gate_reuse,501235,2622524,1004367,2.003784651909783,图表/runs/20260924-A-q1-event-ranking-full100/case_018_2cores_seed0_routes_gate_reuse,cbfa795f067847a55974112a322801cdef79189f5ea41bf77e27d2086e85bcf6
case_018,3,routes_gate_reuse,336388,4077600,1004367,2.9857396815582007,图表/runs/20260924-A-q1-event-ranking-full100/case_018_3cores_seed0_routes_gate_reuse,77fcf616d463119a981af11d441a08977717a833d10782e4a7b5cd904b24ac77
case_018,4,routes_gate_reuse,253676,4938752,1004367,3.9592511707847806,图表/runs/20260924-A-q1-event-ranking-full100/case_018_4cores_seed0_routes_gate_reuse,0b98c502e0127a04b99696f5004fd688f8f8dd2a4b5aa41760e517839138ef1e
case_018,5,routes_gate_reuse,203806,5603348,1004367,4.928054129907854,图表/runs/20260924-A-q1-event-ranking-full100/case_018_5cores_seed0_routes_gate_reuse,900ee3a5c4df2290df7e70a9e7e8b5c06b64fa6ea3d780bf19c185c940dbe230
case_019,1,fixed_single,81144,0,81144,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_019,135a6fa2deb33932930b3383134478d200a61268ac0965d0a7614865557f1ab5
case_019,2,routes_gate_reuse,40136,42540,81144,2.021726131154076,图表/runs/20260924-A-q1-event-ranking-full100/case_019_2cores_seed0_routes_gate_reuse,57ac3e821e4a00ceaa373cc3a49cb59ff11e80a947bfb8cf1dfccdac3ab8a36d
case_019,3,routes_gate_reuse,27848,83520,81144,2.9138178684286125,图表/runs/20260924-A-q1-event-ranking-full100/case_019_3cores_seed0_routes_gate_reuse,3fcab98c5d30843701b0f0fde1f40daaa9315c1f31ba3956bd913f7c78875e9e
case_019,4,routes_gate_reuse,24465,285312,81144,3.316738197424893,图表/runs/20260924-A-q1-event-ranking-full100/case_019_4cores_seed0_routes_gate_reuse,3f7d2a308a6da78740f3117d54c7d9044e3cbfe12dcba96592b0200d010fd5dd
case_019,5,routes_gate_reuse,23450,568740,81144,3.4602985074626864,图表/runs/20260924-A-q1-event-ranking-full100/case_019_5cores_seed0_routes_gate_reuse,597da9eac3b11e5cdc5416ec7c18d68389fafaea3ba559ea49d65fd26a1b691b
case_020,1,fixed_single,532746,0,532746,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_020,2c1454a70a05883bbb6d73aca90301f5867db0525f9f55f5faeac474e590aa83
case_020,2,routes_gate_reuse,266580,0,532746,1.9984469952734638,图表/runs/20260924-A-q1-event-ranking-full100/case_020_2cores_seed0_routes_gate_reuse,e677461a6d7abf8b3b91495f4264c25468aa4aecf4c58f5373a70df51322b23a
case_020,3,routes_gate_reuse,177950,0,532746,2.993796010115201,图表/runs/20260924-A-q1-event-ranking-full100/case_020_3cores_seed0_routes_gate_reuse,60c7403e0c6826b5337e61cd0a9544fe89d28e0965f22740688103e490f66c73
case_020,4,routes_gate_reuse,133704,0,532746,3.984518039849219,图表/runs/20260924-A-q1-event-ranking-full100/case_020_4cores_seed0_routes_gate_reuse,9a36e204ac2e016cddde340acf7634dbd92fb5976d84e7bd2712b970a8f724b8
case_020,5,routes_gate_reuse,107650,0,532746,4.948871342313051,图表/runs/20260924-A-q1-event-ranking-full100/case_020_5cores_seed0_routes_gate_reuse,797cac9cb96b5f9910c4d235054ee25ea3e769b95aaa293d7232d0fa2c639332
case_021,1,fixed_single,6567937,4501504,6567937,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_021,b3fce17fef4c6fe29d643f8da6422b376ea137460ef1f4454f489cf39357fa82
case_021,2,routes_gate_reuse,3168548,50104320,6567937,2.0728538750241436,图表/runs/20260924-A-q1-event-ranking-full100/case_021_2cores_seed0_routes_gate_reuse,756314d368acb32a7f582ba17fc99a5d37bc0c7310ccf5274e4f128a8b40b021
case_021,3,routes_gate_reuse,2124156,50071552,6567937,3.092021960722282,图表/runs/20260924-A-q1-event-ranking-full100/case_021_3cores_seed0_routes_gate_reuse,cfa67823e61282fbe8f6e38011eecc928aed31f879ca6a7b8c5179482e0d2c64
case_021,4,routes_gate_reuse,1550324,4608000,6567937,4.236493145948847,图表/runs/20260924-A-q1-event-ranking-full100/case_021_4cores_seed0_routes_gate_reuse,dbc90e16584c570ab3b9d5f5020c08e7b678c621e6509f4b7bc577c174c23c5d
case_021,5,routes_gate_reuse,1249916,11845632,6567937,5.254702716022517,图表/runs/20260924-A-q1-event-ranking-full100/case_021_5cores_seed0_routes_gate_reuse,01d80aef29fcba77e74620d6b8519797a2a1be97553b537320fc4d339381e89d
case_022,1,fixed_single,56780,0,56780,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_022,fc0840037234e89fca680098b040a57ab103e9e550896f9c6897561eb9bd1cdf
case_022,2,routes_gate_reuse,28303,6912,56780,2.006147758188178,图表/runs/20260924-A-q1-event-ranking-full100/case_022_2cores_seed0_routes_gate_reuse,665d765d4e21bb015275cbe9b9a493c718b3a20a258e224564ed55f621e95573
case_022,3,routes_gate_reuse,18978,13824,56780,2.9918853409210664,图表/runs/20260924-A-q1-event-ranking-full100/case_022_3cores_seed0_routes_gate_reuse,433126dd914c9b0d574f66ff843f8cb14a0a4c2417e6645d076ca2e6d757f4a0
case_022,4,routes_gate_reuse,14336,20736,56780,3.960658482142857,图表/runs/20260924-A-q1-event-ranking-full100/case_022_4cores_seed0_routes_gate_reuse,4fbe8a9121f19f1f456ef78d3f03eae27fd79d1d95f472d8a8b75be72ce99640
case_022,5,routes_gate_reuse,11479,24612,56780,4.9464239045213,图表/runs/20260924-A-q1-event-ranking-full100/case_022_5cores_seed0_routes_gate_reuse,84c4aff2a9449db78a147d77e6fe488a825e836eaff49ddd163414f6aa208043
case_023,1,fixed_single,122614,0,122614,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_023,287da562ab1fcf0ff5800602d7b4e782e53d9b7ac141a2a4aa0e1201121a530a
case_023,2,routes_gate_reuse,61065,73728,122614,2.0079259805125687,图表/runs/20260924-A-q1-event-ranking-full100/case_023_2cores_seed0_routes_gate_reuse,64a31f907bb854e977c0a9516c96fdc2748859cf5c3de2212a5edd48eccb0f8f
case_023,3,routes_gate_reuse,40682,207264,122614,3.0139619487734133,图表/runs/20260924-A-q1-event-ranking-full100/case_023_3cores_seed0_routes_gate_reuse,b443f946bf35249f5004dc26e1b0692c838485c0355eb175ff8e027b6c9771dc
case_023,4,routes_gate_reuse,30516,281280,122614,4.018023332022546,图表/runs/20260924-A-q1-event-ranking-full100/case_023_4cores_seed0_routes_gate_reuse,8aa555d15cf46bdb56e88c5e7aae16aadb3e0e017929067f96c3cf5980c2a7ee
case_023,5,routes_gate_reuse,24940,280992,122614,4.91635926222935,图表/runs/20260924-A-q1-event-ranking-full100/case_023_5cores_seed0_routes_gate_reuse,7ecdae2a5516585112dbc3099fef751ebf9913f7d85e4de93e146ddf36646634
