case,cores,single,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,old_makespan,reference_makespan,solve_seconds,verification_seconds,host
case_031,5,1414369,284848,4.965346430376902,7931904,6274560,1657344,284848,284848,52.99186907336116,0.09394252113997936,server
case_032,2,41443,20900,1.9829186602870814,96344,96344,0,20900,20102,1.5312421000562608,0.015626000007614493,local
case_032,3,41443,14009,2.958312513384253,96406,96406,0,14009,14137,1.4079525000415742,0.015162999974563718,local
case_032,4,41443,10933,3.790633860788439,63656,63656,0,10933,11004,1.5029746000654995,0.01734100002795458,local
case_032,5,41443,10280,4.031420233463035,80036,80036,0,18512,10415,1.589308699942194,0.11765759997069836,local
case_033,2,1774196,888544,1.996745237152015,6312520,3235912,3076608,888544,889697,27.72547520697117,0.07916934415698051,server
case_033,3,1774196,590697,3.0035635867458272,7602264,5456472,2145792,590697,592065,27.5938411783427,0.083207031711936,server
case_033,4,1774196,443447,4.000920064855552,7214688,5279328,1935360,443447,443447,28.968060983344913,0.0864486675709486,server
case_033,5,1774196,353592,5.017636145614154,8227976,7203464,1024512,353592,355102,31.330277351662517,0.08385791629552841,server
case_034,2,842996,419167,2.0111220587498537,1915392,1238528,676864,419167,418477,29.139062261208892,0.06223454885184765,server
case_034,3,842996,278067,3.0316290678145914,2762240,2328576,433664,278067,278067,29.91662535816431,0.055418556556105614,server
case_034,4,842996,205314,4.105886593218193,3207748,3158596,49152,205314,211953,32.15501760877669,0.08525040186941624,server
case_034,5,842996,167930,5.019924968736974,3885104,3860528,24576,167930,171637,32.5970436707139,0.09932177513837814,server
case_035,2,169571,95406,1.7773620107750037,0,0,0,95406,95406,21.536972273141146,0.04777407646179199,server
case_035,3,169571,95782,1.7703848322231734,42278,42278,0,125507,95424,23.216754384338856,0.053128551691770554,server
case_035,4,169571,94869,1.7874226565052862,47410,47410,0,125981,85446,25.85923571884632,0.06385928019881248,server
case_035,5,169571,95983,1.7666774324619985,83532,83532,0,126070,79391,24.961178820580244,0.0723012238740921,server
case_036,2,931510,466068,1.998656848356892,1152,1152,0,466068,466068,20.821211678907275,0.07720213755965233,server
case_036,3,931510,311345,2.991890025534375,2304,2304,0,311345,311345,19.862264474853873,0.06640900298953056,server
case_036,4,931510,233584,3.987901568600589,3456,3456,0,233584,233584,18.951054271310568,0.07990967109799385,server
case_036,5,931510,187182,4.976493466252097,4608,4608,0,187182,187182,20.16484611108899,0.09518712386488914,server
case_037,2,210001,105374,1.992910964754114,204800,204800,0,105374,105374,1.3553560000145808,0.013155799941159785,local
case_037,3,210001,74038,2.836394824279424,1064960,1064960,0,74038,74038,1.5646581000182778,0.020326999947428703,local
case_037,4,210001,53320,3.938503375843961,614400,614400,0,53320,53320,1.4304872999200597,0.018449699971824884,local
case_037,5,210001,43800,4.794543378995434,1925120,1925120,0,43800,43800,1.6893043000018224,0.023501299903728068,local
case_038,2,1364555,674500,2.0230615270570795,6790656,2517504,4273152,674500,674500,52.71922857128084,0.12382418662309647,server
